time,AT,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LV,NL,NO,PL,PT,RO,SE,SI,SK
01/01/2017 00:00,,344.66,,,,3303.5075,1067.93,,0,,,1991.69,,,,,,,,873.5325,,,,,,,
01/01/2017 01:00,,363.76,,,,3298.9075,1157.41,,0,,,2321.43,,,,,,,,883.81,,,,,,,
01/01/2017 02:00,,342.28,,,,3299.775,1141.29,,0,,,2323.11,,,,,,,,872.3925,,,,,,,
01/01/2017 03:00,,438.97,,,,3298.55,1133.46,,0,,,2194.02,,,,,,,,889.6875,,,,,,,
01/01/2017 04:00,,490.7,,,,3289.35,901.9,,0,,,2432.835,,,,,,,,893.325,,,,,,,
01/01/2017 05:00,,527.32,,,,3187.7425,735.49,,0,,,2546.485,,,,,,,,896.3625,,,,,,,
01/01/2017 06:00,,474.41,,,,2883.335,796.04,,0,,,2334.57,,,,,,,,895.0075,,,,,,,
01/01/2017 07:00,,429.76,,,,2660.8725,803.98,,0,,,2050.82,,,,,,,,894.08,,,,,,,
01/01/2017 08:00,,463.12,,,,2605.52,778.54,,0,,,2221.335,,,,,,,,887.4825,,,,,,,
01/01/2017 09:00,,442.2,,,,2308.0875,772.24,,0,,,2306.64,,,,,,,,890.0725,,,,,,,
01/01/2017 10:00,,430.22,,,,2170.4325,761.84,,0,,,2723.715,,,,,,,,881.6675,,,,,,,
01/01/2017 11:00,,415.54,,,,1952.1325,770.85,,0,,,2641.18,,,,,,,,830.7175,,,,,,,
01/01/2017 12:00,,472.23,,,,1426.815,743.86,,0,,,2829.93,,,,,,,,761.1425,,,,,,,
01/01/2017 13:00,,507.07,,,,785.2125,660.48,,0,,,2683.65,,,,,,,,560.525,,,,,,,
01/01/2017 14:00,,434.65,,,,448.2225,467.76,,0,,,2095.085,,,,,,,,485.5225,,,,,,,
01/01/2017 15:00,,415.46,,,,525.9525,457.19,,0,,,1881.39,,,,,,,,445.09,,,,,,,
01/01/2017 16:00,,425.49,,,,595.565,385.75,,0,,,2103.075,,,,,,,,475.965,,,,,,,
01/01/2017 17:00,,468.16,,,,755.7425,345.73,,0,,,2341.435,,,,,,,,284.17,,,,,,,
01/01/2017 18:00,,360.05,,,,930.4275,404.9,,0,,,2679.795,,,,,,,,281.57,,,,,,,
01/01/2017 19:00,,203.03,,,,1582.7475,526.39,,0,,,2908.215,,,,,,,,442.1175,,,,,,,
01/01/2017 20:00,,167.61,,,,1980.885,605.36,,0,,,2917.11,,,,,,,,473.4975,,,,,,,
01/01/2017 21:00,,100.55,,,,2447.505,688.57,,0,,,2871.995,,,,,,,,515.11,,,,,,,
01/01/2017 22:00,,209.55,,,,2714.06,704.22,,0,,,2479.57,,,,,,,,653.9225,,,,,,,
01/01/2017 23:00,,256.25,,,,2960.5725,692.05,,0,,,2309.355,,,,,,,,729.3225,,,,,,,
02/01/2017 00:00,,143.82,,,,2993.98,640.02,,0,,,2056.015,,,,,,,,785.725,,,,,,,
02/01/2017 01:00,,177.23,,,,2651.03,605.64,,0,,,2204.1,,,,,,,,770.4025,,,,,,,
02/01/2017 02:00,,313.17,,,,2398.26,730.01,,0,,,2399.81,,,,,,,,879.43,,,,,,,
02/01/2017 03:00,,365.27,,,,2105.0625,559.14,,0,,,2242.39,,,,,,,,860.9025,,,,,,,
02/01/2017 04:00,,355.45,,,,2039.05,593.71,,0,,,2004.075,,,,,,,,846.475,,,,,,,
02/01/2017 05:00,,366.96,,,,2047.315,434.95,,0,,,1875.705,,,,,,,,853.7825,,,,,,,
02/01/2017 06:00,,388.63,,,,1669.03,442.42,,0,,,1725.065,,,,,,,,860.3125,,,,,,,
02/01/2017 07:00,,459.47,,,,1684.6075,482.39,,0,,,1971.65,,,,,,,,872.645,,,,,,,
02/01/2017 08:00,,411.84,,,,2036.21,653.59,,0,,,1617.975,,,,,,,,760.985,,,,,,,
02/01/2017 09:00,,385.68,,,,2486.8825,656.81,,0,,,1469.73,,,,,,,,765.41,,,,,,,
02/01/2017 10:00,,277.38,,,,2783,602.65,,0,,,1222.72,,,,,,,,766.2075,,,,,,,
02/01/2017 11:00,,288.51,,,,2861.5725,479.62,,0,,,1142.825,,,,,,,,769.59,,,,,,,
02/01/2017 12:00,,387.86,,,,2562.475,404.86,,0,,,1245.95,,,,,,,,706.28,,,,,,,
02/01/2017 13:00,,271.3,,,,2700.945,466.31,,0,,,1197.515,,,,,,,,655.2275,,,,,,,
02/01/2017 14:00,,276.24,,,,2510.4,484.2,,0,,,1374.905,,,,,,,,565.95,,,,,,,
02/01/2017 15:00,,361.77,,,,2612.1775,560.48,,0,,,1426.215,,,,,,,,772.1275,,,,,,,
02/01/2017 16:00,,488.93,,,,2895.6325,531.22,,0,,,1292.28,,,,,,,,835.38,,,,,,,
02/01/2017 17:00,,470.82,,,,3031.0025,484.38,,0,,,1148.09,,,,,,,,699.0625,,,,,,,
02/01/2017 18:00,,395.37,,,,2859.23,483.74,,0,,,1153.22,,,,,,,,677.2975,,,,,,,
02/01/2017 19:00,,341.86,,,,2856.68,583.06,,0,,,1254.135,,,,,,,,723.5075,,,,,,,
02/01/2017 20:00,,241.64,,,,2709.25,606.8,,0,,,1180.65,,,,,,,,709.325,,,,,,,
02/01/2017 21:00,,174.94,,,,2778.6925,517.1,,0,,,1077.36,,,,,,,,692.8425,,,,,,,
02/01/2017 22:00,,114.72,,,,2652.625,530.12,,0,,,1338.82,,,,,,,,689.2375,,,,,,,
02/01/2017 23:00,,88.46,,,,2530.355,564.47,,0,,,1422.75,,,,,,,,664.1225,,,,,,,
03/01/2017 00:00,,115.69,,,,2471.3525,733.07,,0,,,1481.06,,,,,,,,698.1175,,,,,,,
03/01/2017 01:00,,155.5,,,,2568.325,747.72,,0,,,1665.805,,,,,,,,706.1075,,,,,,,
03/01/2017 02:00,,157.32,,,,2669.4575,748.49,,0,,,1668.63,,,,,,,,724.66,,,,,,,
03/01/2017 03:00,,145.3,,,,2936.6525,789.81,,0,,,1596.89,,,,,,,,760.3975,,,,,,,
03/01/2017 04:00,,234.46,,,,3059.3625,801.45,,0,,,1432.205,,,,,,,,825.9525,,,,,,,
03/01/2017 05:00,,247.6,,,,3111.825,854.54,,0,,,1603.85,,,,,,,,850.645,,,,,,,
03/01/2017 06:00,,318.08,,,,3196.8925,1009.2,,0,,,1840.15,,,,,,,,858.6225,,,,,,,
03/01/2017 07:00,,413.78,,,,3211.8725,1104.4,,0,,,1865.515,,,,,,,,860.375,,,,,,,
03/01/2017 08:00,,486,,,,3236.91,1124.52,,0,,,2142.91,,,,,,,,846.1225,,,,,,,
03/01/2017 09:00,,433.85,,,,3239.145,1140.14,,0,,,2363.075,,,,,,,,880.22,,,,,,,
03/01/2017 10:00,,520.84,,,,3259.9725,1142.02,,0,,,2638.515,,,,,,,,872.4775,,,,,,,
03/01/2017 11:00,,557.55,,,,3250.015,1132.38,,0,,,2757.585,,,,,,,,875.1425,,,,,,,
03/01/2017 12:00,,582.71,,,,3260.815,1171.42,,0,,,2827.115,,,,,,,,879.265,,,,,,,
03/01/2017 13:00,,578.67,,,,3263.475,1075.12,,0,,,2841.21,,,,,,,,882.69,,,,,,,
03/01/2017 14:00,,637.47,,,,3258.315,1161.26,,0,,,2881.675,,,,,,,,888.1475,,,,,,,
03/01/2017 15:00,,661.73,,,,3259.62,1157.04,,0,,,2976.685,,,,,,,,893.3875,,,,,,,
03/01/2017 16:00,,673.16,,,,3261.955,1175.24,,0,,,2977,,,,,,,,895.065,,,,,,,
03/01/2017 17:00,,674.07,,,,3261.7525,1168.54,,0,,,2928.16,,,,,,,,894.14,,,,,,,
03/01/2017 18:00,,674.72,,,,3255.8,1165.89,,0,,,2980.74,,,,,,,,895.1725,,,,,,,
03/01/2017 19:00,,677.42,,,,3225.31,1166.75,,0,,,2993.27,,,,,,,,895.2825,,,,,,,
03/01/2017 20:00,,678.47,,,,3146.1425,1056.27,,0,,,2915.89,,,,,,,,894.895,,,,,,,
03/01/2017 21:00,,674.3,,,,3202.88,960.59,,0,,,2974.615,,,,,,,,894.425,,,,,,,
03/01/2017 22:00,,672.15,,,,3216.2,946.35,,0,,,2877.965,,,,,,,,894.97,,,,,,,
03/01/2017 23:00,,668.57,,,,2887.13,958.49,,0,,,2938.045,,,,,,,,895.35,,,,,,,
04/01/2017 00:00,,674.06,,,,2777.615,564.53,,0,,,2990.445,,,,,,,,888.845,,,,,,,
04/01/2017 01:00,,676.98,,,,2539.2825,598.04,,0,,,2992.485,,,,,,,,879.1875,,,,,,,
04/01/2017 02:00,,669.04,,,,2863.2025,608.91,,0,,,2905.6,,,,,,,,887.2175,,,,,,,
04/01/2017 03:00,,640.79,,,,2786.2375,872.04,,0,,,2884.07,,,,,,,,885.3325,,,,,,,
04/01/2017 04:00,,606.11,,,,2568.39,837.52,,0,,,2709.28,,,,,,,,876.855,,,,,,,
04/01/2017 05:00,,563.35,,,,2689.27,816.79,,0,,,2588.215,,,,,,,,878.9675,,,,,,,
04/01/2017 06:00,,623.35,,,,2682.1125,942.86,,0,,,2663.07,,,,,,,,891.98,,,,,,,
04/01/2017 07:00,,625.84,,,,2846.1875,1060.31,,0,,,2811.355,,,,,,,,885.79,,,,,,,
04/01/2017 08:00,,622.73,,,,3000.3725,1156.68,,0,,,2536.985,,,,,,,,881.8925,,,,,,,
04/01/2017 09:00,,671.89,,,,3041.43,1173.27,,0,,,2245.48,,,,,,,,891.11,,,,,,,
04/01/2017 10:00,,674.5,,,,2916.8975,1165.84,,0,,,1820.43,,,,,,,,871.6475,,,,,,,
04/01/2017 11:00,,665.42,,,,3083.65,1149.09,,0,,,1742.385,,,,,,,,894.9125,,,,,,,
04/01/2017 12:00,,676.16,,,,3131.4625,1057.51,,0,,,2001.59,,,,,,,,894.3,,,,,,,
04/01/2017 13:00,,674.91,,,,2895.9525,1135.89,,0,,,2087.365,,,,,,,,886.8375,,,,,,,
04/01/2017 14:00,,675.49,,,,2920.855,1131.08,,0,,,2097.47,,,,,,,,889.785,,,,,,,
04/01/2017 15:00,,671.74,,,,3125.2575,1056.97,,0,,,2121.465,,,,,,,,886.115,,,,,,,
04/01/2017 16:00,,670.07,,,,3055.7325,1045.73,,0,,,2159.83,,,,,,,,888.5225,,,,,,,
04/01/2017 17:00,,673.25,,,,2903.64,1043.02,,0,,,2167.12,,,,,,,,890.76,,,,,,,
04/01/2017 18:00,,672.48,,,,2827.8425,1024.03,,0,,,2068.205,,,,,,,,891.52,,,,,,,
04/01/2017 19:00,,642.8,,,,3102.8025,1058,,0,,,2059.925,,,,,,,,881.285,,,,,,,
04/01/2017 20:00,,661.53,,,,3153.6925,1074.32,,0,,,1932.275,,,,,,,,853.0325,,,,,,,
04/01/2017 21:00,,555.29,,,,3174.515,1077.22,,0,,,1866.55,,,,,,,,833.49,,,,,,,
04/01/2017 22:00,,485.71,,,,3075.03,1099.29,,0,,,1746.725,,,,,,,,869.5025,,,,,,,
04/01/2017 23:00,,543.43,,,,2821.4575,1064.06,,0,,,1717.68,,,,,,,,789.7875,,,,,,,
05/01/2017 00:00,,567.7,,,,2584.9025,1017.62,,0,,,1596.025,,,,,,,,811.13,,,,,,,
05/01/2017 01:00,,581.27,,,,2596.64,921.28,,0,,,1465.9,,,,,,,,547.44,,,,,,,
05/01/2017 02:00,,592.07,,,,2571.6275,877.96,,0,,,1446.145,,,,,,,,685.765,,,,,,,
05/01/2017 03:00,,579.84,,,,2396.0225,875.05,,0,,,1331.39,,,,,,,,735.0025,,,,,,,
05/01/2017 04:00,,584.4,,,,2430.2875,932.95,,0,,,1213.82,,,,,,,,653.42,,,,,,,
05/01/2017 05:00,,519.97,,,,2243.9075,921.78,,0,,,1036.3,,,,,,,,680.3125,,,,,,,
05/01/2017 06:00,,455.95,,,,2216.7175,873.01,,0,,,942.575,,,,,,,,552.32,,,,,,,
05/01/2017 07:00,,412.59,,,,2313.89,844.68,,0,,,954.075,,,,,,,,489.3225,,,,,,,
05/01/2017 08:00,,177.73,,,,2225.76,678.85,,0,,,836.155,,,,,,,,463.1025,,,,,,,
05/01/2017 09:00,,202.58,,,,2122.7475,628.72,,0,,,791.965,,,,,,,,463.9025,,,,,,,
05/01/2017 10:00,,50.45,,,,1707.6575,549.13,,0,,,612.635,,,,,,,,354.19,,,,,,,
05/01/2017 11:00,,105.87,,,,1229.6525,445.91,,0,,,614.385,,,,,,,,336.8475,,,,,,,
05/01/2017 12:00,,43.42,,,,881.795,402.44,,0,,,653.83,,,,,,,,241.0625,,,,,,,
05/01/2017 13:00,,25.7,,,,651.2875,382.17,,0,,,641.01,,,,,,,,210.78,,,,,,,
05/01/2017 14:00,,63.34,,,,586.7275,416.63,,0,,,672.59,,,,,,,,151.2775,,,,,,,
05/01/2017 15:00,,49.05,,,,566.45,360.45,,0,,,724.075,,,,,,,,182.48,,,,,,,
05/01/2017 16:00,,110.93,,,,552.475,303.4,,0,,,780.705,,,,,,,,166.125,,,,,,,
05/01/2017 17:00,,115.59,,,,464.3,280.2,,0,,,816.875,,,,,,,,141.3225,,,,,,,
05/01/2017 18:00,,98.55,,,,378.6975,253.9,,0,,,769.78,,,,,,,,109.79,,,,,,,
05/01/2017 19:00,,93.36,,,,271.7125,208.04,,0,,,946.98,,,,,,,,46.7875,,,,,,,
05/01/2017 20:00,,89.72,,,,204.48,174.52,,0,,,1102.815,,,,,,,,23.73,,,,,,,
05/01/2017 21:00,,73.7,,,,123.55,100.8,,0,,,1223.94,,,,,,,,34.8175,,,,,,,
05/01/2017 22:00,,97.67,,,,134.9075,69.63,,0,,,1238.7,,,,,,,,59.11,,,,,,,
05/01/2017 23:00,,129.37,,,,209.5525,68.4,,0,,,1324.88,,,,,,,,76.73,,,,,,,
06/01/2017 00:00,,156.36,,,,291.6875,69.91,,0,,,1464.525,,,,,,,,142.8425,,,,,,,
06/01/2017 01:00,,134.92,,,,368.9625,86.59,,0,,,1329.195,,,,,,,,220.8425,,,,,,,
06/01/2017 02:00,,125.98,,,,413.525,103.69,,0,,,1348.23,,,,,,,,282.88,,,,,,,
06/01/2017 03:00,,101.07,,,,562.6675,106.68,,0,,,1377.09,,,,,,,,290.185,,,,,,,
06/01/2017 04:00,,76.77,,,,642.1975,119.72,,0,,,1557.635,,,,,,,,273.475,,,,,,,
06/01/2017 05:00,,90.15,,,,833.2975,176.33,,0,,,1525.345,,,,,,,,306.44,,,,,,,
06/01/2017 06:00,,84.5,,,,1106.9325,180.96,,0,,,1466.94,,,,,,,,317.47,,,,,,,
06/01/2017 07:00,,111.17,,,,1097.855,248.33,,0,,,1596.48,,,,,,,,264.87,,,,,,,
06/01/2017 08:00,,111.64,,,,1159.325,438.03,,0,,,1666.23,,,,,,,,297.97,,,,,,,
06/01/2017 09:00,,123.73,,,,1345.9575,464.23,,0,,,1672.805,,,,,,,,464.37,,,,,,,
06/01/2017 10:00,,172.86,,,,1573.325,504.88,,0,,,1507.965,,,,,,,,518.61,,,,,,,
06/01/2017 11:00,,180.46,,,,1761.4375,568.29,,0,,,1543.26,,,,,,,,517.43,,,,,,,
06/01/2017 12:00,,161.91,,,,1926.4325,699.41,,0,,,1832.43,,,,,,,,525.66,,,,,,,
06/01/2017 13:00,,132.45,,,,1993.7275,748.54,,0,,,2174.96,,,,,,,,569.925,,,,,,,
06/01/2017 14:00,,153.59,,,,2183.3775,789.63,,0,,,2209.18,,,,,,,,628.0075,,,,,,,
06/01/2017 15:00,,156.34,,,,2315.685,847.18,,0,,,2314.655,,,,,,,,673.4525,,,,,,,
06/01/2017 16:00,,251.9,,,,2271.71,876.12,,0,,,2392.425,,,,,,,,702.51,,,,,,,
06/01/2017 17:00,,302.2,,,,2542.515,883.52,,0,,,2219.9,,,,,,,,799.295,,,,,,,
06/01/2017 18:00,,354.39,,,,2826.08,903.24,,0,,,1960.575,,,,,,,,859.175,,,,,,,
06/01/2017 19:00,,453.48,,,,2885.6625,943.11,,0,,,1924.85,,,,,,,,886.48,,,,,,,
06/01/2017 20:00,,533.83,,,,2908.08,980.15,,0,,,1898.515,,,,,,,,887.225,,,,,,,
06/01/2017 21:00,,481.36,,,,2952.005,1036.35,,0,,,1808.565,,,,,,,,880.5275,,,,,,,
06/01/2017 22:00,,481,,,,2957.4625,1062.19,,0,,,1887.425,,,,,,,,884.31,,,,,,,
06/01/2017 23:00,,513.47,,,,3060.305,1092.86,,0,,,1895.37,,,,,,,,879.1925,,,,,,,
07/01/2017 00:00,,545.3,,,,3085.62,1091.89,,0,,,1796.98,,,,,,,,883.6325,,,,,,,
07/01/2017 01:00,,579.18,,,,3113.065,1077.55,,0,,,1789.68,,,,,,,,889.125,,,,,,,
07/01/2017 02:00,,548.51,,,,3146.275,1063.63,,0,,,1562.65,,,,,,,,889.25,,,,,,,
07/01/2017 03:00,,557,,,,3167.0375,1112.01,,0,,,1391.275,,,,,,,,889.415,,,,,,,
07/01/2017 04:00,,556.33,,,,3118.4875,1113.77,,0,,,1008.745,,,,,,,,887.3425,,,,,,,
07/01/2017 05:00,,605.26,,,,2897.095,1069.08,,0,,,889.355,,,,,,,,881.8925,,,,,,,
07/01/2017 06:00,,559.85,,,,2758.525,1034.9,,0,,,712.605,,,,,,,,832.4525,,,,,,,
07/01/2017 07:00,,499.78,,,,2497.4775,1040.92,,0,,,647.28,,,,,,,,733.9975,,,,,,,
07/01/2017 08:00,,319.96,,,,2327.0025,1024.01,,0,,,523.185,,,,,,,,578.6475,,,,,,,
07/01/2017 09:00,,210.56,,,,1956.525,897.06,,0,,,483.91,,,,,,,,209.6175,,,,,,,
07/01/2017 10:00,,102.12,,,,1951.995,837.71,,0,,,466.27,,,,,,,,155.275,,,,,,,
07/01/2017 11:00,,62.95,,,,1687.48,871.08,,0,,,450.46,,,,,,,,211.2425,,,,,,,
07/01/2017 12:00,,60.91,,,,1575.86,770.09,,0,,,472.935,,,,,,,,175.065,,,,,,,
07/01/2017 13:00,,81.7,,,,1891.8025,740.32,,0,,,465.18,,,,,,,,281.2175,,,,,,,
07/01/2017 14:00,,122.02,,,,2182.4375,759.55,,0,,,466.365,,,,,,,,374.9575,,,,,,,
07/01/2017 15:00,,114.5,,,,2193.0175,754.01,,0,,,231.11,,,,,,,,415.395,,,,,,,
07/01/2017 16:00,,122.82,,,,2120.1825,806.44,,0,,,426.54,,,,,,,,516.575,,,,,,,
07/01/2017 17:00,,105.11,,,,2098.1975,750.65,,0,,,414.575,,,,,,,,413.3,,,,,,,
07/01/2017 18:00,,84.34,,,,2266.785,456.19,,0,,,434.27,,,,,,,,464.9275,,,,,,,
07/01/2017 19:00,,29.85,,,,2225.7525,302.56,,0,,,349.3,,,,,,,,455.385,,,,,,,
07/01/2017 20:00,,17.44,,,,2303.775,292.05,,0,,,317.16,,,,,,,,375.965,,,,,,,
07/01/2017 21:00,,42.74,,,,2163.2625,241.65,,0,,,334.795,,,,,,,,412.865,,,,,,,
07/01/2017 22:00,,19.14,,,,1797.6675,221.23,,0,,,322.425,,,,,,,,341.045,,,,,,,
07/01/2017 23:00,,36.27,,,,1378.9825,172.34,,0,,,297.62,,,,,,,,339.5575,,,,,,,
08/01/2017 00:00,,39.64,,,,1072.96,96.8,,0,,,355.245,,,,,,,,298.5325,,,,,,,
08/01/2017 01:00,,24.81,,,,745.97,68.43,,0,,,364.27,,,,,,,,289.7975,,,,,,,
08/01/2017 02:00,,4.2,,,,592.045,67.31,,0,,,402.945,,,,,,,,264.7875,,,,,,,
08/01/2017 03:00,,22.51,,,,371.195,64.43,,0,,,365.685,,,,,,,,185.6975,,,,,,,
08/01/2017 04:00,,0.02,,,,206.745,57.61,,0,,,401.71,,,,,,,,173.9825,,,,,,,
08/01/2017 05:00,,0.06,,,,79.9725,52.13,,0,,,471.26,,,,,,,,149.825,,,,,,,
08/01/2017 06:00,,0.08,,,,68.2,44.16,,0,,,321.95,,,,,,,,101.22,,,,,,,
08/01/2017 07:00,,0,,,,40.1275,30.67,,0,,,301.205,,,,,,,,62.92,,,,,,,
08/01/2017 08:00,,0,,,,29.785,18.21,,0,,,269.815,,,,,,,,67.35,,,,,,,
08/01/2017 09:00,,2.41,,,,63.16,23.06,,0,,,271.195,,,,,,,,85.3825,,,,,,,
08/01/2017 10:00,,2.05,,,,23.0775,53.03,,0,,,262.31,,,,,,,,48.845,,,,,,,
08/01/2017 11:00,,0,,,,18.5,93.99,,0,,,247.345,,,,,,,,5.08,,,,,,,
08/01/2017 12:00,,0,,,,27.5475,131.68,,0,,,282.285,,,,,,,,2.3,,,,,,,
08/01/2017 13:00,,0,,,,26.155,174.71,,0,,,327.165,,,,,,,,2.2,,,,,,,
08/01/2017 14:00,,0,,,,12.2625,205.05,,0,,,237.52,,,,,,,,0,,,,,,,
08/01/2017 15:00,,0,,,,36.8225,187.47,,0,,,237.04,,,,,,,,0,,,,,,,
08/01/2017 16:00,,0,,,,122.85,226.49,,0,,,275.165,,,,,,,,0,,,,,,,
08/01/2017 17:00,,0,,,,143.7775,261.38,,0,,,316.535,,,,,,,,0,,,,,,,
08/01/2017 18:00,,0,,,,194.3425,221.2,,0,,,388.47,,,,,,,,0.1,,,,,,,
08/01/2017 19:00,,0,,,,304.4525,299.15,,0,,,458.8,,,,,,,,1.8,,,,,,,
08/01/2017 20:00,,0,,,,360.4775,305.65,,0,,,266.98,,,,,,,,31.4175,,,,,,,
08/01/2017 21:00,,0,,,,404.1575,376.59,,0,,,682.56,,,,,,,,88.8475,,,,,,,
08/01/2017 22:00,,24.84,,,,539.52,388.55,,0,,,820.975,,,,,,,,125.265,,,,,,,
08/01/2017 23:00,,35.13,,,,711.8225,319.28,,0,,,1182.09,,,,,,,,166.91,,,,,,,
09/01/2017 00:00,,24.78,,,,900.4125,304.02,,0,,,1354.9,,,,,,,,218.765,,,,,,,
09/01/2017 01:00,,53.41,,,,941.8375,313.32,,0,,,1556.33,,,,,,,,205.39,,,,,,,
09/01/2017 02:00,,50.53,,,,1196.7525,320.4,,0,,,1590.485,,,,,,,,270.425,,,,,,,
09/01/2017 03:00,,56.78,,,,1510.6275,319.5,,0,,,1693.61,,,,,,,,334.525,,,,,,,
09/01/2017 04:00,,101.49,,,,1661.0475,351,,0,,,1931.145,,,,,,,,437.3725,,,,,,,
09/01/2017 05:00,,133.09,,,,1772.9925,411.28,,0,,,1963.965,,,,,,,,521.305,,,,,,,
09/01/2017 06:00,,187.15,,,,2104.68,425.02,,0,,,2143.995,,,,,,,,597.9475,,,,,,,
09/01/2017 07:00,,287.43,,,,2459.4425,543.3,,0,,,2139.295,,,,,,,,642.795,,,,,,,
09/01/2017 08:00,,296.01,,,,2596.03,537.68,,0,,,2270.215,,,,,,,,693.625,,,,,,,
09/01/2017 09:00,,352.36,,,,2616.92,630.86,,0,,,2485.55,,,,,,,,705.2125,,,,,,,
09/01/2017 10:00,,421.29,,,,2520.13,762.09,,0,,,2425.64,,,,,,,,752.1875,,,,,,,
09/01/2017 11:00,,379.5,,,,2598.96,765.68,,0,,,2790.8,,,,,,,,820.7175,,,,,,,
09/01/2017 12:00,,532.27,,,,2552.8275,815.84,,0,,,2914.665,,,,,,,,871.2325,,,,,,,
09/01/2017 13:00,,597.5,,,,2507.815,833.98,,0,,,2717.72,,,,,,,,892.2125,,,,,,,
09/01/2017 14:00,,650.92,,,,2573.1725,902.36,,0,,,3079.99,,,,,,,,891.6825,,,,,,,
09/01/2017 15:00,,652.36,,,,2680.935,922.5,,0,,,3281.215,,,,,,,,889.0925,,,,,,,
09/01/2017 16:00,,639.15,,,,2887.405,996.79,,0,,,3347.665,,,,,,,,887.1875,,,,,,,
09/01/2017 17:00,,672,,,,3087.9725,1049.57,,0,,,3277.91,,,,,,,,895.735,,,,,,,
09/01/2017 18:00,,684.6,,,,3160.4825,1101.19,,0,,,3142.66,,,,,,,,897.0225,,,,,,,
09/01/2017 19:00,,685.81,,,,3195.9475,1129.63,,0,,,3172,,,,,,,,893.0925,,,,,,,
09/01/2017 20:00,,673.51,,,,3216.7775,1129.71,,0,,,2865.365,,,,,,,,883.0125,,,,,,,
09/01/2017 21:00,,510.57,,,,3240.03,1128.14,,0,,,2837.43,,,,,,,,885.435,,,,,,,
09/01/2017 22:00,,273.54,,,,3242.5325,1144.55,,0,,,3006.65,,,,,,,,805.4625,,,,,,,
09/01/2017 23:00,,407.27,,,,3222.6475,1142.04,,0,,,3130.55,,,,,,,,534.59,,,,,,,
10/01/2017 00:00,,509.78,,,,3210.6125,1152.23,,0,,,2962.695,,,,,,,,630.07,,,,,,,
10/01/2017 01:00,,485.92,,,,3012.915,1154.97,,0,,,2931.11,,,,,,,,515.0325,,,,,,,
10/01/2017 02:00,,446.18,,,,2660.7425,1148.1,,0,,,3006.495,,,,,,,,447.1725,,,,,,,
10/01/2017 03:00,,426.09,,,,2180.1275,1004.74,,0,,,2992.47,,,,,,,,220.52,,,,,,,
10/01/2017 04:00,,468.35,,,,1625.7175,1104.64,,0,,,2912.625,,,,,,,,198.4375,,,,,,,
10/01/2017 05:00,,442.54,,,,1456.46,1065.65,,0,,,2811.445,,,,,,,,249.215,,,,,,,
10/01/2017 06:00,,311.21,,,,1150.495,919.26,,0,,,2957.875,,,,,,,,212.18,,,,,,,
10/01/2017 07:00,,278.29,,,,576.6325,806.84,,0,,,3003.745,,,,,,,,176.925,,,,,,,
10/01/2017 08:00,,392.35,,,,508.53,775.16,,0,,,2939.165,,,,,,,,96.21,,,,,,,
10/01/2017 09:00,,456.61,,,,753.2975,805.56,,0,,,2633.43,,,,,,,,108.6475,,,,,,,
10/01/2017 10:00,,274.31,,,,1043.7275,786.22,,0,,,2641.7,,,,,,,,211.38,,,,,,,
10/01/2017 11:00,,268.57,,,,1328.6825,799.74,,0,,,2649.145,,,,,,,,264.2125,,,,,,,
10/01/2017 12:00,,209.1,,,,1473.1425,800.24,,0,,,2297.01,,,,,,,,280.9875,,,,,,,
10/01/2017 13:00,,172.69,,,,1501.5625,851.74,,0,,,2268.395,,,,,,,,262.8225,,,,,,,
10/01/2017 14:00,,141.44,,,,1496.2125,872.14,,0,,,2221.76,,,,,,,,229.9375,,,,,,,
10/01/2017 15:00,,132.48,,,,1725.195,880.22,,0,,,2336.4,,,,,,,,240.5825,,,,,,,
10/01/2017 16:00,,121.47,,,,2036.5075,891.67,,0,,,2273.535,,,,,,,,297.78,,,,,,,
10/01/2017 17:00,,179.24,,,,2287.27,945.13,,0,,,2337.11,,,,,,,,311.6775,,,,,,,
10/01/2017 18:00,,169.45,,,,2436.52,971.96,,0,,,2279.18,,,,,,,,399.27,,,,,,,
10/01/2017 19:00,,130.7,,,,2578.2675,1013.86,,0,,,2302.625,,,,,,,,466.3625,,,,,,,
10/01/2017 20:00,,120.39,,,,2650.66,1030.61,,0,,,2224.31,,,,,,,,465.08,,,,,,,
10/01/2017 21:00,,144.3,,,,2539.1375,998.66,,0,,,2196.825,,,,,,,,478.47,,,,,,,
10/01/2017 22:00,,215.44,,,,2684.6225,1024.52,,0,,,2299.625,,,,,,,,527.085,,,,,,,
10/01/2017 23:00,,172.16,,,,2862.2875,1096.81,,0,,,2597.975,,,,,,,,603.1225,,,,,,,
11/01/2017 00:00,,264.05,,,,3040.22,1140.49,,0,,,2940.385,,,,,,,,719.3675,,,,,,,
11/01/2017 01:00,,449.29,,,,3156.28,1142.03,,0,,,3070.135,,,,,,,,816.2275,,,,,,,
11/01/2017 02:00,,543.08,,,,3212.7025,1154.57,,0,,,3116.235,,,,,,,,873.655,,,,,,,
11/01/2017 03:00,,536.19,,,,3223.04,1033.36,,0,,,3112,,,,,,,,863.73,,,,,,,
11/01/2017 04:00,,634.44,,,,3206.0425,1166.59,,0,,,3269.865,,,,,,,,878.35,,,,,,,
